vid_name,vid_name_long,vid_location,year,river,transect,location,frame_rate,total_frames,video_length,number_of_splits,rand_order,EDA,notes
2017_Mudginberri_Billabong_2017_Transect_4_Location_1,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 4_Location 1_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 4/Location 1/,2017,Mudginberri,Transect 4,Location 1,50,220166,73.38866667,19,0.858920167,no,
2016_Channels_2016_Mudginberri_Videos_Transect_2_Location_9_Camera_4,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 2_Location 9 Camera 4_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 2/Location 9 Camera 4/,2016,Mudginberri,Transect 2,Location 9,50,180215,60.07166667,16,0.858831415,no,
2018_Mudginberri_Billabong_2018_Transect_6_Location_1,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 6_Location 1_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 6/Location 1/,2018,Mudginberri,Transect 6,Location 1,50,223869,74.623,19,0.850880416,no,
2018_Mudginberri_Billabong_2018_Transect_5_Location_2,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 5_Location 2_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 5/Location 2/,2018,Mudginberri,Transect 5,Location 2,50,227880,75.96,19,0.848640724,no,
2018_Mudginberri_Billabong_2018_Transect_2_Location_7,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 2_Location 7_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 2/Location 7/,2018,Mudginberri,Transect 2,Location 7,50,197902,65.96733333,17,0.846350198,no,
2017_Sandy_Billabong_2017_Transect_4_Location_4,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 4_Location 4_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 4/Location 4/,2017,Sandy,Transect 4,Location 4,50,268773,89.591,23,0.842816273,no,
2016_Channels_2016_Mudginberri_Videos_Transect_5_Location_3_Camera_20,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 5_Location 3 Camera 20_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 5/Location 3 Camera 20/,2016,Mudginberri,Transect 5,Location 3,50,218256,72.752,19,0.840817909,no,
2017_Sandy_Billabong_2017_Transect_4_Location_7,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 4_Location 7_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 4/Location 7/,2017,Sandy,Transect 4,Location 7,50,274625,91.54166667,23,0.839934375,no,
2018_Sandy_Billabong_2018_Transect_2_Location_9,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 2_Location 9_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 2/Location 9/,2018,Sandy,Transect 2,Location 9,47.95204795,200401,69.65326424,18,0.839302432,no,
2017_Sandy_Billabong_2017_Transect_2_Location_10,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 2_Location 10_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 2/Location 10/,2017,Sandy,Transect 2,Location 10,50,212020,70.67333333,18,0.835833423,no,
2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_8_Camera_18,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 8 Camera 18_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 8 Camera 18/,2016,Sandy,Transect 5,Location 8,50,257293,85.76433333,22,0.834732577,no,
2018_Sandy_Billabong_2018_Transect_2_Location_2,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 2_Location 2_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 2/Location 2/,2018,Sandy,Transect 2,Location 2,50,212266,70.75533333,18,0.834557357,no,
2018_Mudginberri_Billabong_2018_Transect_2_Location_10,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 2_Location 10_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 2/Location 10/,2018,Mudginberri,Transect 2,Location 10,50,221815,73.93833333,19,0.833184498,no,
2017_Mudginberri_Billabong_2017_Transect_2_Location_10,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 2_Location 10_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 2/Location 10/,2017,Mudginberri,Transect 2,Location 10,50,191837,63.94566667,16,0.831926114,no,
